Kod Responden,a5: ( Jantina ),a6: ( Bangsa ),a7: ( Agama ),a8: ( Umur )
10004,Perempuan,Melayu,Islam,69
10007,Lelaki,Melayu,Islam,63
10010,Lelaki,Melayu,Islam,65
10011,Lelaki,Melayu,Islam,76
10012,Perempuan,Melayu,Islam,67
10019,Lelaki,Melayu,Islam,71
10021,Perempuan,Melayu,Islam,60
10026,Lelaki,Melayu,Islam,66
10028,Perempuan,Melayu,Islam,60
10030,Perempuan,Melayu,Islam,63
10031,Lelaki,Melayu,Islam,72
10032,Perempuan,Melayu,Islam,62
10033,Lelaki,Melayu,Islam,65
10034,Lelaki,Melayu,Islam,72
10035,Perempuan,Melayu,Islam,66
10039,Perempuan,Melayu,Islam,82
10040,Lelaki,Melayu,Islam,68
11001,Perempuan,Melayu,Islam,81
11003,Lelaki,Melayu,Islam,77
11004,Perempuan,Melayu,Islam,60
11005,Perempuan,Melayu,Islam,63
11007,Perempuan,Melayu,Islam,64
11008,Perempuan,Melayu,Islam,64
11012,Perempuan,India,Hindu,69
11013,Perempuan,Melayu,Islam,67
11018,Lelaki,Melayu,Islam,60
11022,Lelaki,Melayu,Islam,63
11025,Perempuan,Melayu,Islam,66
11032,Perempuan,Melayu,Islam,64
11034,Lelaki,Melayu,Islam,63
11038,Perempuan,Cina,Buddha,63
11039,Perempuan,Melayu,Islam,70
11041,Lelaki,Melayu,Islam,63
11043,Lelaki,Melayu,Islam,67
11046,Lelaki,Melayu,Islam,64
11056,Lelaki,Melayu,Islam,75
11058,Perempuan,Melayu,Islam,65
11059,Perempuan,Cina,Buddha,66
11062,Lelaki,Melayu,Islam,70
11063,Perempuan,India,Hindu,67
11064,Perempuan,Cina,Buddha,67
11065,Perempuan,Melayu,Islam,73
11075,Perempuan,Cina,Buddha,64
11080,Perempuan,Cina,Buddha,78
11088,Lelaki,Melayu,Islam,76
11089,Lelaki,Cina,Buddha,77
11094,Lelaki,Cina,Buddha,73
11095,Perempuan,Cina,Buddha,69
11104,Perempuan,Cina,Buddha,70
11106,Perempuan,Cina,Buddha,68
11107,Lelaki,India,Hindu,64
12002,Lelaki,Cina,Buddha,69
12003,Lelaki,Cina,Buddha,67
12004,Lelaki,Cina,Buddha,70
12005,Perempuan,Cina,Buddha,66
12006,Perempuan,Cina,Buddha,74
12007,Lelaki,Cina,Buddha,67
12009,Lelaki,Cina,Buddha,63
12010,Perempuan,Cina,Buddha,70
12011,Perempuan,Cina,Buddha,67
12012,Perempuan,Cina,Buddha,65
12013,Perempuan,Cina,Kristian,75
12016,Perempuan,Cina,Kristian,63
12017,Lelaki,Cina,Buddha,77
12018,Perempuan,Melayu,Islam,77
12019,Lelaki,Cina,Buddha,80
12020,Lelaki,Melayu,Islam,71
12024,Lelaki,Cina,Lain-lain agama,65
12025,Lelaki,Melayu,Islam,66
12027,Perempuan,Cina,Lain-lain agama,81
12030,Lelaki,Cina,Buddha,71
12031,Perempuan,Cina,Buddha,66
12034,Perempuan,Cina,Lain-lain agama,65
12035,Lelaki,Cina,Buddha,70
12036,Perempuan,Melayu,Islam,62
12037,Lelaki,India,Hindu,75
12041,Lelaki,Melayu,Islam,65
12042,Perempuan,Melayu,Islam,60
12045,Lelaki,Cina,Buddha,67
12046,Perempuan,Cina,Buddha,64
12048,Lelaki,Cina,Buddha,62
12050,Lelaki,Cina,Buddha,65
13002,Lelaki,Melayu,Islam,68
13008,Perempuan,Melayu,Islam,65
13011,Lelaki,Melayu,Islam,63
13014,Perempuan,Melayu,Islam,64
13018,Perempuan,Melayu,Islam,65
13019,Perempuan,Melayu,Islam,68
13021,Lelaki,Melayu,Islam,66
13022,Lelaki,Melayu,Islam,66
13023,Perempuan,Melayu,Islam,65
13024,Perempuan,Melayu,Islam,61
13025,Lelaki,Melayu,Islam,67
13027,Perempuan,Melayu,Islam,73
13030,Perempuan,Melayu,Islam,63
13031,Perempuan,Melayu,Islam,62
14001,Lelaki,Cina,Buddha,70
14005,Perempuan,Melayu,Islam,72
14006,Lelaki,Melayu,Islam,77
14007,Perempuan,Cina,Buddha,62
14008,Perempuan,Cina,Buddha,61
14009,Perempuan,Cina,Buddha,69
14011,Perempuan,Cina,Buddha,81
14012,Perempuan,Cina,Buddha,63
14013,Lelaki,Cina,Buddha,70
14014,Perempuan,Cina,Buddha,77
14015,Perempuan,Cina,Buddha,64
14016,Lelaki,Cina,Buddha,73
